Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Twitter,ВКонтакте,YouTube,Skype,Широта,Долгота,2GIS URL
Доро,пиццерия,Пиццерии; Доставка готовых блюд,"Ады Лебедевой, 91",1 этаж,660060,,Центральный район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 09:00-21:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+07:00,83912964600,83912112726,,,,,,,,,,56.015216,92.857849,https://2gis.com/firm/985690699764696
Томат и Чеддер,служба доставки пиццы и пиццерия,Доставка готовых блюд; Пиццерии,"78 Добровольческой Бригады, 21",1 этаж,660077,Взлётка,Советский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-23:00,+07:00,83919868790,,,,,http://Tomatocheddar.ru,,,https://vk.com/tomatocheddar,,,56.045946,92.904584,https://2gis.com/firm/70000001007258156
Puzzle pizza,кафе,Пиццерии,"Вильского, 26/3",,660062,Серебряный,Октябрьский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 11:00-22:00; Вт: 11:00-22:00; Ср: 11:00-22:00; Чт: 11:00-22:00; Пт: 11:00-22:00; Сб: 11:00-22:00; Вс: 11:00-22:00,+07:00,83919889868,,,,,http://puzzlepizza24.ru/krasnoyarsk,,,https://vk.com/puzzlepizza24,,,56.022336,92.759746,https://2gis.com/firm/70000001057582068
Cheez,сеть пиццерий,Пиццерии; Доставка готовых блюд,"Чернышевского, 77",1 этаж,660043,Покровский,Центральный район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+07:00,83912551155,,,marketing@pizzacheez.com,,,,,https://vk.com/pizzacheez,,,56.039615,92.871284,https://2gis.com/firm/70000001023891715
Дом у озера,,Кафе; Пиццерии,"остров Татышев, 1Б/2",,,,Советский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+07:00,83912865343,,,,,http://bellinigroup.ru/rest/dom-u-ozera/,,,,,,56.014033,92.907343,https://2gis.com/firm/70000001044425988
Папа Джонс,пиццерия,Пиццерии; Доставка готовых блюд,"Молокова, 40",1 этаж,660077,Взлётка,Советский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-23:00,+07:00,83912227222,,,,,,,,https://vk.com/papajohnsru,,,56.042341,92.90582,https://2gis.com/firm/985690700187449
Доро,пиццерия,Доставка готовых блюд; Пиццерии,"Лесников, 25Б/1",,660006,,Свердловский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-21:00; Вс: 08:00-21:00,+07:00,89029245410,83912112726,,,,,,,,,,55.98077,92.802658,https://2gis.com/firm/70000001056749802
Субито,пиццерия,Пиццерии,"проспект им. газеты Красноярский Рабочий, 33",1 этаж,660037,,Ленинский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+07:00,83912208480,,,,,http://subito.ru,,,,,,56.012138,92.971629,https://2gis.com/firm/985690700079415
Папа Джонс,пиццерия,Пиццерии; Доставка готовых блюд,"проспект им. газеты Красноярский Рабочий, 133",,660010,,Свердловский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-23:00,+07:00,83912227222,,,,,,,,https://vk.com/papajohnsru,,,55.997641,92.912221,https://2gis.com/firm/70000001020137549
Доро,пиццерия,Пиццерии; Доставка готовых блюд,"Свердловская, 30а/2",,660042,,Свердловский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-21:00; Вс: 08:00-21:00,+07:00,83912964600,83912112726,,,,,,,,,,55.979138,92.842692,https://2gis.com/firm/985690700323763
Pizzatut24,пиццерия,Пиццерии; Доставка готовых блюд,"Капитанская, 10",2 этаж; супермаркет Пятёрочка,660064,Южный Берег,Свердловский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+07:00,83912883017,83912519333,,,,http://pizzatut24.ru,,,,,,55.99784,92.897443,https://2gis.com/firm/985690699835087
Pinkpizza,пиццерия,Пиццерии; Доставка готовых блюд,"Карла Маркса, 123",кафе БургерКит,660049,,Центральный район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+07:00,83919897764,83912496564,,,,http://pinkpizza.ru,,,https://vk.com/pinkpizzakrsk,,,56.009692,92.868785,https://2gis.com/firm/70000001046766335
ЖЕМЧУЖИНА,служба доставки суши и пиццы,Доставка готовых блюд; Кафе; Бары; Пиццерии; Суши-бары / рестораны,"Тельмана, 17г",,660111,Зелёная Роща,Советский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-01:00; Сб: 10:00-01:00; Вс: 10:00-24:00,+07:00,83912143020,,,sushipearl24@gmail.com,,http://Жемчужина24.рф,http://Sushipearl.ru,,https://vk.com/sushipearl,https://youtube.com/channel/UCndpdk-xcBDDyrd1W442HDw,,56.053734,92.975956,https://2gis.com/firm/985690700625024
Fettuccine Pasticceria,кафе,Кафе; Пиццерии; Доставка готовых блюд,"Алексеева, 54а",,660077,Слобода Весны,Советский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+07:00,83912141416,,,fetrest@mail.ru,,http://Fettuccine24.ru,,,https://vk.com/fettuccine_pasticceria,,,56.044163,92.894372,https://2gis.com/firm/70000001038153917
Cheez,сеть пиццерий,Пиццерии; Доставка готовых блюд,"78 Добровольческой Бригады, 4",,660077,Взлётка,Советский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+07:00,83912551155,,,marketing@pizzacheez.com,,,,,https://vk.com/pizzacheez,,,56.039513,92.918641,https://2gis.com/firm/985690699496927
Cheez,сеть пиццерий,Пиццерии; Доставка готовых блюд,"Водопьянова, 15а",,660098,Северный,Советский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+07:00,83912551155,,,marketing@pizzacheez.com,,,,,https://vk.com/pizzacheez,,,56.057423,92.914732,https://2gis.com/firm/985690699655965
Amada mia,пиццерия,Пиццерии; Доставка готовых блюд; Суши-бары / рестораны; Кафе,"Живописная, 2",1 этаж,660011,Микрорайон Удачный,Октябрьский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+07:00,83912025555,,,,,http://delivery.restik.com/amada_mia?ysclid=l5lwzokk1347101445,,,https://vk.com/club_amadamia,,,55.98058,92.697627,https://2gis.com/firm/70000001018342531
Зелень,пиццерия,Пиццерии; Доставка готовых блюд,"Ястынская, 19д",,660131,Ястынское поле,Советский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 11:00-21:00; Вт: 11:00-21:00; Ср: 11:00-21:00; Чт: 11:00-21:00; Пт: 11:00-21:00; Сб: 11:00-21:00; Вс: 11:00-21:00,+07:00,83912767504,,,,,,,,,,,56.063972,92.947167,https://2gis.com/firm/70000001024854177
Brooklyn Bar,кафе-бар,Пиццерии; Доставка готовых блюд,"Апрельская, 7",1 этаж,660050,Образцово,Кировский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-02:00; Сб: 14:00-02:00; Вс: 14:00-24:00,+07:00,89237599697,,,,,,,,,,,55.993534,92.984657,https://2gis.com/firm/70000001035993430
Pinkpizza,пиццерия,Пиццерии; Доставка готовых блюд,"Полтавская, 38/7",1 этаж,660012,Пашенный,Свердловский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+07:00,83919897764,83912496564,,,,http://pinkpizza.ru,,,https://vk.com/pinkpizzakrsk,,,55.985005,92.861637,https://2gis.com/firm/70000001056737287
СырБор,,Пиццерии,"Свободный проспект, 90/2 к3",,660041,,Октябрьский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 11:00-20:00; Вт: 11:00-20:00; Ср: 11:00-20:00; Чт: 11:00-20:00; Пт: 11:00-20:00; Сб: 11:00-20:00; Вс: 11:00-20:00,+07:00,89233150345,,,,,,,,,,,56.0032,92.76392,https://2gis.com/firm/70000001044023968
Томат и Чеддер,служба доставки пиццы и пиццерия,Доставка готовых блюд; Пиццерии,"Коммунальная, 8а",1 этаж,660095,,Кировский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+07:00,83919868790,,,,,http://Tomatocheddar.ru,,,https://vk.com/tomatocheddar,,,56.005506,92.935523,https://2gis.com/firm/70000001036931812
Халапешка,служба доставки,Доставка готовых блюд; Пиццерии,"Взлётная, 24а",цокольный этаж,660135,Взлётка,Советский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 18:00-01:00; Вт: 18:00-01:00; Ср: 18:00-01:00; Чт: 18:00-01:00; Пт: 18:00-01:00; Сб: 18:00-01:00; Вс: 18:00-01:00,+07:00,83912295979,,,,,http://halapeshka.ru,,,https://vk.com/halapeshka,,,56.035459,92.905942,https://2gis.com/firm/70000001045809592
Pinkpizza,пиццерия,Пиццерии; Доставка готовых блюд,"78 Добровольческой Бригады, 21",,660077,Взлётка,Советский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+07:00,83919897764,83912496564,,,,http://pinkpizza.ru,,,https://vk.com/pinkpizzakrsk,,,56.046093,92.904339,https://2gis.com/firm/70000001046766352
Pinkpizza,пиццерия,Пиццерии; Доставка готовых блюд,"Вильского, 26",,660130,Серебряный,Октябрьский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+07:00,83919897764,83912496564,,,,http://pinkpizza.ru,,,https://vk.com/pinkpizzakrsk,,,56.021693,92.75874,https://2gis.com/firm/70000001060627301
Сады мечты,пиццерия,Пиццерии,"78 Добровольческой Бригады, 14и/1",1 этаж,660077,Взлётка,Советский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 11:00-21:00; Вт: 11:00-21:00; Ср: 11:00-21:00; Чт: 11:00-21:00; Пт: 11:00-21:00; Сб: 11:00-21:00; Вс: 11:00-21:00,+07:00,83912801656,,,,,,,,,,,56.043197,92.91659,https://2gis.com/firm/70000001018966133
Pinkpizza,пиццерия,Пиццерии; Доставка готовых блюд,"проспект им. газеты Красноярский Рабочий, 62",,660037,,Ленинский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+07:00,83919897764,83912496564,,,,http://pinkpizza.ru,,,https://vk.com/pinkpizzakrsk,,,56.012175,92.969981,https://2gis.com/firm/70000001046766381
Green Bar Sushi,бар суши и пиццы с доставкой,Суши-бары / рестораны; Пиццерии; Кафе; Доставка готовых блюд,"проспект Мира, 3",2 помещение; 1 этаж,662501,7-й микрорайон г. Сосновоборска,,Сосновоборск,Сосновоборск городской округ,Красноярский край,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-23:00,+07:00,83919864068,83912323623,,greenbarsushi@yandex.ru,,http://greenbarsushi.ru,,,https://vk.com/green_bar_sushi,,,56.116849,93.31923,https://2gis.com/firm/70000001021330843
Крушевац,пиццерия,Пиццерии,"набережная им. В.И.Ленина, 37",1 этаж,663093,,,Дивногорск,Дивногорск городской округ,Красноярский край,Россия,Вт: 12:00-22:00; Ср: 12:00-22:00; Чт: 12:00-22:00; Пт: 12:00-22:00; Сб: 12:00-22:00; Вс: 12:00-22:00,+07:00,89339985051,,,,,,,,https://vk.com/pizzakrusevac,,,55.966793,92.373639,https://2gis.com/firm/70000001044849552
Pizzaed,пиццерия,Пиццерии,"Свердловская, 293/1",,660054,,Свердловский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+07:00,,,,,,,,,,,,55.966996,92.733745,https://2gis.com/firm/70000001063802557
Суши Rollomania,служба доставки суши,Суши-бары / рестораны; Доставка готовых блюд,"Октябрьская, 3а",гастроном Красный яр,660135,Взлётка,Советский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+07:00,83912092707,89029772072,,najimidinov888@gmail.com,,http://24rollomania.ru,,,https://vk.com/rollomania24,,,56.035407,92.919292,https://2gis.com/firm/70000001046853483
Цунами,служба доставки суши,Доставка готовых блюд; Суши-бары / рестораны,"проспект им. газеты Красноярский Рабочий, 79",,660059,,Кировский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-24:00; Сб: 11:00-24:00; Вс: 11:00-23:00,+07:00,83912149955,,,,,http://tsunami24.ru/?utm_source=2gis&utm_medium=Order_button,,,https://vk.com/sushi_krasnoyarsk,,,56.004988,92.941945,https://2gis.com/firm/70000001042885737
Стерео суши,служба доставки суши,Доставка готовых блюд; Суши-бары / рестораны,"Ладо Кецховели, 95",1 этаж,660028,,Железнодорожный район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-23:00,+07:00,83912050525,,,stereo2050525@yandex.ru,,http://sushi-stereo.ru,,,https://vk.com/sushi_stereo,,,56.024254,92.811959,https://2gis.com/firm/985690700469175
Гейша,служба доставки суши,Доставка готовых блюд; Суши-бары / рестораны,"Дмитрия Мартынова, 18",,660043,Покровский,Центральный район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+07:00,83912902902,,,24geisha@mail.ru,,http://24geisha.ru,,,https://vk.com/24geisha,,,56.038629,92.87618,https://2gis.com/firm/70000001062634721
Ёбидоёби,служба доставки суши и роллов,Доставка готовых блюд; Суши-бары / рестораны,"Водопьянова, 15",1 этаж,660098,Северный,Советский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-23:00,+07:00,88003333323,,,mail@yobidoyobi.ru,,http://yobidoyobi.ru/krasnoyarsk,,,https://vk.com/ebidoebi,https://youtube.com/channel/UChky3lLAouRVS6y2RqZqpFw/featured,,56.056601,92.914402,https://2gis.com/firm/70000001047361194
Сёгун,ресторан паназиатской кухни,Доставка готовых блюд; Суши-бары / рестораны,"78 Добровольческой Бригады, 23",,660077,Слобода Весны,Советский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+07:00,89538558614,,,krsk-vzl@segun24.ru,,http://www.segun24.ru,,,https://vk.com/segun24,,,56.047278,92.902137,https://2gis.com/firm/70000001057468591
Yoshi,кафе паназиатской кухни,Кафе; Суши-бары / рестораны; Доставка готовых блюд,"проспект Мира, 94",,660017,,Центральный район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-01:00; Сб: 12:00-01:00; Вс: 12:00-23:00,+07:00,83912029747,,,,,,,,,,,56.011735,92.862398,https://2gis.com/firm/70000001029395119
Kiko Ramen Izakaya,бар,Бары; Рестораны; Суши-бары / рестораны,"проспект Мира, 96",1 этаж,660017,,Центральный район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-01:00; Сб: 12:00-01:00; Вс: 12:00-23:00,+07:00,83912679057,,,,,,,,,,,56.011709,92.861892,https://2gis.com/firm/70000001046080784
Японский домик,суши-бар,Суши-бары / рестораны; Доставка готовых блюд,"Новосибирская, 7",1 этаж,660018,,Железнодорожный район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+07:00,83912963521,83912963522,,,,http://krsk.yapdomik.ru,,,https://vk.com/yapdomik24,,,56.018147,92.821843,https://2gis.com/firm/70000001026818720
Xlfood,,Доставка готовых блюд; Бары; Суши-бары / рестораны,"Парижской Коммуны, 31",цокольный этаж,660049,,Центральный район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-02:00,+07:00,83912630177,,,,,http://xlfood.ru,,,https://vk.com/xlfood,,,56.01475,92.880434,https://2gis.com/firm/70000001037598361
Японский домик,суши-бар,Суши-бары / рестораны; Доставка готовых блюд,"Карамзина, 18",1 этаж,660012,Пашенный,Свердловский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+07:00,83912963521,83912963522,,,,http://krsk.yapdomik.ru,,,https://vk.com/yapdomik24,,,55.988339,92.854776,https://2gis.com/firm/70000001031478558
Япона Мама,суши-бар,Доставка готовых блюд; Суши-бары / рестораны,"Ярыгинская набережная, 33",1 этаж,660012,Пашенный,Свердловский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-24:00,+07:00,83912155470,,,,,http://японамама24.рф,,,https://vk.com/yponamama24,,,55.990277,92.850074,https://2gis.com/firm/70000001017258292
На суше,служба доставки суши и пиццы,Доставка готовых блюд; Суши-бары / рестораны; Рестораны; Кафе,"Высотная, 2ж/1",,660062,,Октябрьский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+07:00,83912965050,,,,,http://nasushe24.uds.app/c/join?ref=mfue6891,,,https://vk.com/na_sushe,,,56.020113,92.793645,https://2gis.com/firm/70000001051598228
Якитория,кафе-бар и служба доставки,Доставка готовых блюд; Суши-бары / рестораны; Кафе,"Октябрьская, 7а",1 этаж,660135,Взлётка,Советский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-23:00,+07:00,83912904050,83912904060,,,,http://yakitoriya-krasnoyarsk.ru,http://bellinigroup.ru,,https://vk.com/yakitoriya_bellini,,,56.036002,92.91929,https://2gis.com/firm/985691699833152
Dzen,служба доставки суши и роллов,Суши-бары / рестораны; Доставка готовых блюд,"Лесников, 23",,660006,,Свердловский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 13:00-23:00; Вт: 13:00-23:00; Ср: 13:00-23:00; Чт: 13:00-23:00; Пт: 12:00-23:00; Сб: 12:00-23:00; Вс: 12:00-23:00,+07:00,89130431919,,,,,http://sushi-dzen.ru,http://dzen-zory.ru,,https://vk.com/sushi_dzen,,,55.982814,92.805716,https://2gis.com/firm/70000001041047361
Sushi-ippon,,Суши-бары / рестораны; Доставка готовых блюд; Магазины ингредиентов азиатской кухни,"Полтавская, 38/13",,660012,Пашенный,Свердловский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 11:00-22:00; Вт: 11:00-22:00; Ср: 11:00-22:00; Чт: 11:00-22:00; Пт: 11:00-22:00; Сб: 11:00-22:00; Вс: 11:00-22:00,+07:00,83912322062,89029422062,,,,http://sushi-ippon.ru,,,https://vk.com/sushi_ippon,,,55.985373,92.870204,https://2gis.com/firm/70000001042552259
Японский домик,суши-бар,Суши-бары / рестораны; Доставка готовых блюд,"Аэровокзальная, 1а",1 этаж,660022,,Советский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+07:00,83912963521,83912963522,,,,http://krsk.yapdomik.ru,,,https://vk.com/yapdomik24,,,56.026957,92.907978,https://2gis.com/firm/70000001051532831
Гейша,служба доставки суши,Доставка готовых блюд; Суши-бары / рестораны,"Молокова, 58",1 этаж,660135,Взлётка,Советский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-23:00,+07:00,83912902902,,,24geisha@mail.ru,,http://24geisha.ru,,,https://vk.com/24geisha,,,56.040148,92.900418,https://2gis.com/firm/985690700348553
Японский домик,суши-бар,Суши-бары / рестораны; Доставка готовых блюд,"проспект им. газеты Красноярский Рабочий, 67",,660059,,Кировский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+07:00,83912963521,83912963522,,,,http://krsk.yapdomik.ru,,,https://vk.com/yapdomik24,,,56.006764,92.949776,https://2gis.com/firm/70000001038484877
Kioko,,Доставка готовых блюд; Суши-бары / рестораны,"Попова, 12",вход с торца,660115,Северо-западный,Октябрьский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+07:00,83912038303,,,,,http://sushikioko24.ru,,,https://vk.com/sushikioko24,,,56.041399,92.761089,https://2gis.com/firm/70000001054062551
Стерео суши,служба доставки суши,Доставка готовых блюд; Суши-бары / рестораны,"Щорса, 76",,660122,Первомайский,Кировский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-23:00,+07:00,83912050525,,,stereo2050525@yandex.ru,,http://sushi-stereo.ru,,,https://vk.com/sushi_stereo,,,55.989387,92.943433,https://2gis.com/firm/70000001018609045
Цунами,служба доставки суши,Доставка готовых блюд; Суши-бары / рестораны,"Академика Павлова, 55",1 этаж,660094,Первомайский,Кировский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-23:00; Сб: 11:00-23:00; Вс: 11:00-22:00,+07:00,83912149955,,,,,http://tsunami24.ru/?utm_source=2gis&utm_medium=Order_button,,,https://vk.com/sushi_krasnoyarsk,,,55.992841,92.943014,https://2gis.com/firm/70000001033069749
Роллексы,суши-бар,Доставка готовых блюд; Суши-бары / рестораны,"Щорса, 41",1 этаж,660094,Первомайский,Кировский район,Красноярск,Красноярск городской округ,Красноярский край,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-23:00; Сб: 11:00-23:00; Вс: 11:00-22:00,+07:00,83912938510,89029238510,,,,http://rolleksi.ru,,,https://vk.com/rolleksi,,,55.991095,92.954831,https://2gis.com/firm/70000001006978274
